school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
2279,Kempsey West Public School,2440,West Kempsey,Tamworth,Macleay Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2279,Kempsey West Public School,2440,West Kempsey,Tamworth,Macleay Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2362,Lake Munmorah Public School,2259,Lake Munmorah,Macquarie Park,Lake Macquarie East,Supporting students with disability prior to school (EI Early Intervention)
2362,Lake Munmorah Public School,2259,Lake Munmorah,Macquarie Park,Lake Macquarie East,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2394,Lidcombe Public School,2141,Lidcombe ,Ultimo,Chullora,Supporting students with mild intellectual disability (IM)
2394,Lidcombe Public School,2141,Lidcombe ,Ultimo,Chullora,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2394,Lidcombe Public School,2141,Lidcombe ,Ultimo,Chullora,Supporting students with moderate intellectual disability (IO)
2410,Lithgow Public School,2790,Lithgow ,Wagga Wagga,Lithgow,Supporting students with mild intellectual disability (IM)
2410,Lithgow Public School,2790,Lithgow ,Wagga Wagga,Lithgow,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2512,Medowie Public School,2318,Medowie,Tamworth,Port Stephens,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2565,Milton Public School,2538,Milton ,Wagga Wagga,South Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2565,Milton Public School,2538,Milton ,Wagga Wagga,South Coast,Supporting students with autism (Au)
2628,Moruya Public School,2537,Moruya ,Wagga Wagga,Batemans Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1015,Albion Park Public School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1015,Albion Park Public School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1028,Alma Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1041,Annandale Public School,2038,Annandale ,Ultimo,Iron Cove,Supporting students with disability prior to school (EI Early Intervention)
1070,Asquith Public School,2077,Asquith,Macquarie Park,Hornsby,Supporting students with mild intellectual disability (IM)
1070,Asquith Public School,2077,Asquith,Macquarie Park,Hornsby,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1121,Banksmeadow Public School,2019,Botany ,Ultimo,Botany Bay,Supporting students with moderate intellectual disability (IO)
1121,Banksmeadow Public School,2019,Botany ,Ultimo,Botany Bay,Supporting students with autism (Au)
1121,Banksmeadow Public School,2019,Botany ,Ultimo,Botany Bay,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1123,Greenacre Public School,2190,Greenacre,Ultimo,Chullora,Supporting students with mild intellectual disability (IM)
1123,Greenacre Public School,2190,Greenacre,Ultimo,Chullora,Supporting students with moderate intellectual disability (IO)
1150,Bathurst Public School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1150,Bathurst Public School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with mental health issues (ED Emotional Disturbance)
1150,Bathurst Public School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with mild intellectual disability (IM)
1168,Bega Valley Public School,2550,Bega ,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1185,Belmore North Public School,2192,Belmore ,Ultimo,Canterbury,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1185,Belmore North Public School,2192,Belmore ,Ultimo,Canterbury,Supporting students with autism (Au)
1185,Belmore North Public School,2192,Belmore ,Ultimo,Canterbury,Supporting students with moderate intellectual disability (IO)
1350,Brewarrina Central School,2839,Brewarrina,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1371,Broken Hill North Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with moderate intellectual disability (IO)
1371,Broken Hill North Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1371,Broken Hill North Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with disability prior to school (EI Early Intervention)
1371,Broken Hill North Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with mild intellectual disability (IM)
1402,Bulahdelah Central School,2423,Bulahdelah ,Tamworth,Great Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1472,Cabramatta Public School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1472,Cabramatta Public School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with mild intellectual disability (IM)
1526,Casino Public School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with mild intellectual disability (IM)
1526,Casino Public School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1526,Casino Public School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1612,Coniston Public School,2500,Coniston ,Wagga Wagga,Wollongong,Supporting students with mental health issues (ED Emotional Disturbance)
1615,Cooerwull Public School,2790,Lithgow ,Wagga Wagga,Lithgow,Supporting students with autism (Au)
1621,Coolah Central School,2843,Coolah ,Tamworth,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1628,Cooma Public School,2630,Cooma ,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1628,Cooma Public School,2630,Cooma ,Wagga Wagga,Eden-Monaro,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1630,Coonabarabran Public School,2357,Coonabarabran ,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1682,Cronulla Public School,2230,Cronulla ,Ultimo,Port Hacking,Supporting students with autism (Au)
1780,Lismore Public School,2480,Lismore ,Tamworth,Lismore,Supporting students who are deaf or hearing impaired (H)
1780,Lismore Public School,2480,Lismore ,Tamworth,Lismore,Supporting students with disability prior to school (EI Early Intervention)
1780,Lismore Public School,2480,Lismore ,Tamworth,Lismore,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1811,Dubbo South Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1845,Engadine Public School,2233,Engadine ,Ultimo,Woronora River,Supporting students with autism (Au)
1845,Engadine Public School,2233,Engadine ,Ultimo,Woronora River,Supporting students with moderate intellectual disability (IO)
1845,Engadine Public School,2233,Engadine ,Ultimo,Woronora River,Supporting students with mild intellectual disability (IM)
1864,Ettalong Public School,2257,Ettalong Beach ,Macquarie Park,Brisbane Water,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1864,Ettalong Public School,2257,Ettalong Beach ,Macquarie Park,Brisbane Water,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1898,Fairy Meadow Public School,2519,Fairy Meadow ,Wagga Wagga,Wollongong,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1898,Fairy Meadow Public School,2519,Fairy Meadow ,Wagga Wagga,Wollongong,Supporting students with mild intellectual disability (IM)
1920,Five Dock Public School,2046,Five Dock ,Ultimo,Iron Cove,Supporting students with autism (Au)
1920,Five Dock Public School,2046,Five Dock ,Ultimo,Iron Cove,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1920,Five Dock Public School,2046,Five Dock ,Ultimo,Iron Cove,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1936,Forster Public School,2428,Forster ,Tamworth,Great Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1936,Forster Public School,2428,Forster ,Tamworth,Great Lakes,Supporting students with mild intellectual disability (IM)
1936,Forster Public School,2428,Forster ,Tamworth,Great Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1936,Forster Public School,2428,Forster ,Tamworth,Great Lakes,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1988,Girraween Public School,2145,Girraween ,Macquarie Park,Girraween,Supporting students with moderate intellectual disability (IO)
1988,Girraween Public School,2145,Girraween ,Macquarie Park,Girraween,Supporting students with mild intellectual disability (IM)
2005,Glen Innes Public School,2370,Glen Innes ,Tamworth,Northern Tablelands,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2056,Goulburn South Public School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with autism (Au)
2056,Goulburn South Public School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2060,Grafton Public School,2460,Grafton ,Tamworth,Grafton,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2060,Grafton Public School,2460,Grafton ,Tamworth,Grafton,Supporting students with mild intellectual disability (IM)
2060,Grafton Public School,2460,Grafton ,Tamworth,Grafton,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2060,Grafton Public School,2460,Grafton ,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2061,South Grafton Public School,2460,South Grafton ,Tamworth,Grafton,Supporting students with disability prior to school (EI Early Intervention)
2061,South Grafton Public School,2460,South Grafton ,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2153,Helensburgh Public School,2508,Helensburgh ,Wagga Wagga,Wollongong North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2177,Telarah Public School,2320,Maitland ,Tamworth,Maitland,Supporting students with disability prior to school (EI Early Intervention)
2177,Telarah Public School,2320,Maitland ,Tamworth,Maitland,Supporting students with mental health issues (ED Emotional Disturbance)
2182,Horsley Park Public School,2164,Horsley Park ,Ultimo,Cowpasture,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2182,Horsley Park Public School,2164,Horsley Park ,Ultimo,Cowpasture,Supporting students with autism (Au)
2193,Rathmines Public School,2283,Rathmines ,Tamworth,Lake Macquarie West,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2193,Rathmines Public School,2283,Rathmines ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2197,Hurstville Public School,2220,Hurstville ,Ultimo,Georges River,Supporting students with autism (Au)
2197,Hurstville Public School,2220,Hurstville ,Ultimo,Georges River,Supporting students with mild intellectual disability (IM)
2197,Hurstville Public School,2220,Hurstville ,Ultimo,Georges River,Supporting students with moderate intellectual disability (IO)
2209,Inverell Public School,2360,Inverell ,Tamworth,Namoi,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2209,Inverell Public School,2360,Inverell ,Tamworth,Namoi,Supporting students with disability prior to school (EI Early Intervention)
2275,Kelso Public School,2795,Kelso ,Wagga Wagga,Bathurst,Supporting students with disability prior to school (EI Early Intervention)
2275,Kelso Public School,2795,Kelso ,Wagga Wagga,Bathurst,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2275,Kelso Public School,2795,Kelso ,Wagga Wagga,Bathurst,Supporting students with mild intellectual disability (IM)
2275,Kelso Public School,2795,Kelso ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2378,Lavington Public School,2641,Lavington ,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2381,Lawson Public School,2783,Lawson,Macquarie Park,Blue Mountains,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2381,Lawson Public School,2783,Lawson,Macquarie Park,Blue Mountains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2510,The Meadows Public School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with mild intellectual disability (IM)
2560,Milperra Public School,2214,Milperra ,Ultimo,Chipping Norton,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2560,Milperra Public School,2214,Milperra ,Ultimo,Chipping Norton,Supporting students with autism (Au)
2593,Mona Vale Public School,2103,Mona Vale ,Macquarie Park,Pittwater,Supporting students with autism (Au)
2593,Mona Vale Public School,2103,Mona Vale ,Macquarie Park,Pittwater,Supporting students with moderate intellectual disability (IO)
2618,Moree Public School,2400,Moree ,Tamworth,Barwon,Supporting students with disability prior to school (EI Early Intervention)
2618,Moree Public School,2400,Moree ,Tamworth,Barwon,Supporting students with mild intellectual disability (IM)
2618,Moree Public School,2400,Moree ,Tamworth,Barwon,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2618,Moree Public School,2400,Moree ,Tamworth,Barwon,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2631,Moss Vale Public School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2631,Moss Vale Public School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with disability prior to school (EI Early Intervention)
2631,Moss Vale Public School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with mild intellectual disability (IM)
2631,Moss Vale Public School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2656,Mudgee Public School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2656,Mudgee Public School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with mild intellectual disability (IM)
2656,Mudgee Public School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2713,Narromine Public School,2821,Narromine ,Wagga Wagga,Macquarie,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2723,Tomaree Public School,2317,Salamander Bay,Tamworth,Port Stephens,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2826,Padstow Park Public School,2211,Padstow,Ultimo,Bankstown,Supporting students with mild intellectual disability (IM)
2831,Pambula Public School,2549,Pambula ,Wagga Wagga,Eden-Monaro,Supporting students with autism (Au)
2831,Pambula Public School,2549,Pambula ,Wagga Wagga,Eden-Monaro,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2831,Pambula Public School,2549,Pambula ,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2835,Parkes Public School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2849,Peakhurst Public School,2210,Peakhurst,Ultimo,Georges River,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2849,Peakhurst Public School,2210,Peakhurst,Ultimo,Georges River,Supporting students with moderate intellectual disability (IO)
2910,Punchbowl Public School,2196,Punchbowl,Ultimo,Chullora,Supporting students with disability prior to school (EI Early Intervention)
2910,Punchbowl Public School,2196,Punchbowl,Ultimo,Chullora,Supporting students with autism (Au)
2496,Marulan Public School,2579,Marulan ,Wagga Wagga,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2526,Merimbula Public School,2548,Merimbula,Wagga Wagga,Eden-Monaro,Supporting students with mental health issues (ED Emotional Disturbance)
2526,Merimbula Public School,2548,Merimbula,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2531,Merrylands Public School,2160,Merrylands ,Macquarie Park,Parramatta,Supporting students with mild intellectual disability (IM)
2531,Merrylands Public School,2160,Merrylands ,Macquarie Park,Parramatta,Supporting students with moderate intellectual disability (IO)
2574,Miranda Public School,2228,Miranda,Ultimo,Port Hacking,Supporting students with autism (Au)
2574,Miranda Public School,2228,Miranda,Ultimo,Port Hacking,Supporting students with moderate intellectual disability (IO)
2581,Mittagong Public School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with mental health issues (ED Emotional Disturbance)
2581,Mittagong Public School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2581,Mittagong Public School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with mild intellectual disability (IM)
2685,Murrumburrah Public School,2587,Murrumburrah,Wagga Wagga,Yass,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2799,Old Bar Public School,2430,Old Bar ,Tamworth,Taree,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2867,Picton Public School,2571,Picton ,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
